costCenterId,count,id_firestore,notes,referenceMonth,referenceYear,sectorId,unitId
lx5ba0d0g6KwCmeCiV7E,6,s5hObUbe4rA6L7unTa22,,2,2025,JuJLxLca9a7SfUHp9Z6n,vcUJkV1rt2Ia1JTvFP7v
Bj6GkhQv6g9bZA9EdcRj,8,sLPH4UW1NDkRfTNCSIe1,,2,2025,JwBtyHrAXS1TKxrJIv3b,vcUJkV1rt2Ia1JTvFP7v
fiVZaoRzyJm9b3wy79M0,11,sVN9PazYNMoaTUa17ZTw,,5,2024,74GXXOLQcPGgcBBPeJ4h,vcUJkV1rt2Ia1JTvFP7v
BPXkamEr3Da4fyUuiaCh,3,sZjmpI0BhhjRVz3kIQQA,,5,2024,JNs88roJYQNCFvcRjRvS,vcUJkV1rt2Ia1JTvFP7v
LvdIwvDuN9VfH0xatcEj,29,srFqbFncbZpp6Cwf9zav,,2,2025,mTf5jggXwVzMMvN05DRj,vcUJkV1rt2Ia1JTvFP7v
LvdIwvDuN9VfH0xatcEj,27,tFuXeXFSYuN62ibVxyS7,,4,2025,mTf5jggXwVzMMvN05DRj,vcUJkV1rt2Ia1JTvFP7v
lx5ba0d0g6KwCmeCiV7E,9,tOt7PVV5F6jcWBCMcwM0,,10,2024,JuJLxLca9a7SfUHp9Z6n,vcUJkV1rt2Ia1JTvFP7v
J9S92kU1qMWpw8Tso8Av,14,tZdmV5UrLH7EcovDsKH0,,5,2024,DL7EE7BZyQRtBqjupgcq,vcUJkV1rt2Ia1JTvFP7v
aEk50YUcFdYewSnTCyex,2,tgEhsLlOpwYT6Zp4pNTM,,5,2025,XNikCZJkyMPCdMfVGv1t,vcUJkV1rt2Ia1JTvFP7v
qGQfdOhfYCHNRchsjw7F,9,trD0Jzu9SUhYIWkX9io2,,2,2025,eCwiMwQCRJKrvOCsQDVN,vcUJkV1rt2Ia1JTvFP7v
BufF5aLxeaiyoFwz2yhO,12,uG48FNHYorKm8lC3ASSG,,5,2024,jY25W1eHGydiXTWGWF9S,vcUJkV1rt2Ia1JTvFP7v
fiVZaoRzyJm9b3wy79M0,9,uGff7DEPnC7yt869kS1D,,9,2024,74GXXOLQcPGgcBBPeJ4h,vcUJkV1rt2Ia1JTvFP7v
uCOdcnxILp65W3UFgcCs,1,ufDGrDdTvYXKf5jh3uqR,,8,2024,HWuwiRi50QD9VJ0nNzZY,vcUJkV1rt2Ia1JTvFP7v
Bj6GkhQv6g9bZA9EdcRj,10,ufwIn2CnRycuT0rkVkn5,,5,2025,JwBtyHrAXS1TKxrJIv3b,vcUJkV1rt2Ia1JTvFP7v
hYhqQhId0xJm1f40rheK,1,uqiCEDDayr85YakZDCCl,,8,2024,Dzg8StK8lfM4QoDVIstc,vcUJkV1rt2Ia1JTvFP7v
lLznvVLFlLhFVqgJp0WU,4,v9eH0UTF5OF0tBHtyQaM,,4,2025,ucnDmU9K4JKpFc3Os3Hd,vcUJkV1rt2Ia1JTvFP7v
l9t7bARHco2hwdwk59OS,4,vZODgPaeYsiaqG6h9iAl,,4,2025,Od91QUy7KUEVGUZjRh3c,vcUJkV1rt2Ia1JTvFP7v
lx5ba0d0g6KwCmeCiV7E,10,wFoVgGxBy6kNQhunY2WW,,9,2024,JuJLxLca9a7SfUHp9Z6n,vcUJkV1rt2Ia1JTvFP7v
lLznvVLFlLhFVqgJp0WU,1,wgfBtLsoqmwSLROsNdeB,,7,2024,ucnDmU9K4JKpFc3Os3Hd,vcUJkV1rt2Ia1JTvFP7v
lx5ba0d0g6KwCmeCiV7E,3,wi98CngcpRR1KfwAq33r,,1,2025,JuJLxLca9a7SfUHp9Z6n,vcUJkV1rt2Ia1JTvFP7v
J9S92kU1qMWpw8Tso8Av,9,wiDMcz86CHRjhstHhBuA,,7,2024,DL7EE7BZyQRtBqjupgcq,vcUJkV1rt2Ia1JTvFP7v
BPXkamEr3Da4fyUuiaCh,5,wxPGnbT8mi5O7oURM829,,6,2024,JNs88roJYQNCFvcRjRvS,vcUJkV1rt2Ia1JTvFP7v
BufF5aLxeaiyoFwz2yhO,9,x6JK91P4J8A8qCRWj5xg,,2,2025,jY25W1eHGydiXTWGWF9S,vcUJkV1rt2Ia1JTvFP7v
J9S92kU1qMWpw8Tso8Av,6,xGJgy3aaUzMAdoytX8cp,,8,2024,DL7EE7BZyQRtBqjupgcq,vcUJkV1rt2Ia1JTvFP7v
l9t7bARHco2hwdwk59OS,2,xa7M6yErObLG1VZroeC4,,3,2025,Od91QUy7KUEVGUZjRh3c,vcUJkV1rt2Ia1JTvFP7v
aEk50YUcFdYewSnTCyex,5,xiJvpENwvkpcWZfBu7q1,,6,2024,XNikCZJkyMPCdMfVGv1t,vcUJkV1rt2Ia1JTvFP7v
5EvI4aS5hDKwYxD7MKPp,5,yIUruYYEilts8LeVgNXt,,6,2024,oTiIo2aNm119s40I50dk,vcUJkV1rt2Ia1JTvFP7v
z82C8gUP0gCQ60E8oYZ5,2,yIqNyWtVnxOEVZKchtfL,,4,2025,MkgEqYjmgdAF6QUWkRmX,vcUJkV1rt2Ia1JTvFP7v
LvdIwvDuN9VfH0xatcEj,16,yLplMdQcq5VKk7zjrBur,,6,2024,mTf5jggXwVzMMvN05DRj,vcUJkV1rt2Ia1JTvFP7v
Bj6GkhQv6g9bZA9EdcRj,2,yMGZdo5oF7ht1vhxXqof,,7,2024,JwBtyHrAXS1TKxrJIv3b,vcUJkV1rt2Ia1JTvFP7v
LvdIwvDuN9VfH0xatcEj,3,ysNaO3OTSFwSUl2f8bis,,5,2024,mTf5jggXwVzMMvN05DRj,vcUJkV1rt2Ia1JTvFP7v
z82C8gUP0gCQ60E8oYZ5,1,zMCC4YsTNUBlmhvRD0NO,,6,2024,MkgEqYjmgdAF6QUWkRmX,vcUJkV1rt2Ia1JTvFP7v
l9t7bARHco2hwdwk59OS,8,zdX98oddfsTD4uf8w7eS,,10,2024,Od91QUy7KUEVGUZjRh3c,vcUJkV1rt2Ia1JTvFP7v
fiVZaoRzyJm9b3wy79M0,7,zkxWYo4tUkG6N4g4sQEG,,4,2025,74GXXOLQcPGgcBBPeJ4h,vcUJkV1rt2Ia1JTvFP7v
